,text,ispoem
0,A butterfly is no longer beautiful without wings     #,1
1,"Neither Broach my trust  nor Penetrate my heart 
Don't be fucker over-smart !

",1
2,old paper mache faces / twisting & losing structure / age's evil touch  ,1
3,Haiku of the Day:  The time will soon come- When we must fight for our rights- Will you be ready? ,1
4,"Notification

I lurked for a while

G.G.F.
         ",1
5,We cannot grow ~ behind our walls ~ blocking out the light...   ,1
6,"I am writing
but I keep adding black
the words barely glinting
beneath a palette of grey.

   ",1
7,"construction workers 
in a heated argument
the ants stay cool

  ",1
8,"Do not separate,
We have to stay together,
Safety in numbers.

     ",1
9,"never been
inside 
the box

",1
10," = XcitedByWordGames
A daily       inspired by other tweets.
6/22 &gt; IN MORNING LIGHT",1
11,"distinct. nimble. capricious. 
  ",1
12,"Those who have been hurt the most often have the greatest ability to heal ... 
 — reading Healing the Soul",1
13,"so many waves 
strongly breaking up
on the same shore 
   (break) ",1
14,Beaten by the storm...rain like million needles...lightning like painful burning...just clouds and denial of existence ,1
15,"

She dreams only of rain 
Her dress still damp, she calls to the season 
Once dry, the clouds roll over our skin",1
16,each : wing beat : brings : me closer : to our return :   ,1
17,"No promise 
Of love 
No wish to 
Stay together 
Still bounded 
By invisible thread 
Forever ..

     ",1
18,"You wrap your arms around me and tell me you'll see me again soon,
but we both know that it isn't the truth.
Each time you leave, you stay away longer,
your heart and your body straying further away from me.
 ",1
19,concentrated sky / just add water and enjoy - / bright blue hyacinths   ,1
20," 157

mine
is the restless soul
of a writer
searching for
that one common truth
that binds us all
&amp; only discovering
the tears left behind
when love dies

count 148

 
",1
21,"i love
both pups
but she has chosen me
to be hers, how could i ever
resist?
h.

",1
22,"Casting stones aside ~
We let go of all the hurt ~
That enslaves us...   ",1
23,"Johnny, being a Don. He let Tessio off the gas rationing still in effect, there was no reason for being in it than hers, he
 156
THE GODFATHER
needed it to the roof. From there in the back yard.   ",1
24,"Things change, they get better.
If you think they are.
If you tell yourself that.
Things change, sometimes they get worse.
And you know they are,
Despite what you tell yourself.


 ",1
25,Around the center spinning / to stay alive / the top can’t / stop   ‘center’,1
26,"Alienated from matter,
these dreamers cast their whims
in the moulds of illusion,
solidly spiritual !
",1
27,"so intuitive
she sees the futility
so passionate
she doesn't care

",1
28,". 
the current looks strong
in the fast flowing river
ducks fly overhead
their harsh short quacks fall on
tall summer grass waving 

 ",1
29," :

flotilla of geese
sails for the lake's greener shore;
a lost feather drifts.

   ",1
30,"silver diamonds...
the reflection of the sun
on the olive trees
 ",1
31,"Before her before,
Rain lashing, the tears streaking,
Window before her.
      ",1
32,"Life is tragic
when you know you can't win
but it’s pathetic instead
to see the solution ahead
and still not try to reach it

",1
33,"Call me narcotics, call me the Nile, 
Call me direct, not docile, 
Drinking cyanide is the same,
As expecting the soul to drain
For the pleasure of pleading,
With a parasitic presence,
Prepared for the feeding   ",1
34,"   

Lived and done it well
Wisdom in maturity
One more first to go",1
35,"more thunder and sprain than anything of blame

     ",1
36,"

she found
all the little pieces
of his shattered soul
now just star dust
trying to find
their way home

count 103
 ",1
37,"Finding you, my 
Reason for living 
Another year passing by
Never stopped loving you, my 
Kind and eternal sunshine 

 ",1
38,"immortality 
by download
nothing 
you 
can
unknow

",1
39,"a poem is

pick
up sticks

but all
the sticks
are

connected

are all just one stick
  ",1
40,"You're my thriller 
You're my killer
You are such
A beautiful mess
Who would ever impress
  ",1
41,"talking to myself /
the usual arguments . . . /
tuck my tail between   ",1
42,Translucent wings~ caught the rain drops~ that the cloud above shed  ,1
43,"not use to mind games/once they start nothing is ever the same/ now is the time for change. 
",1
44,"imagining
the colors
never lie
and they drip
where they will
and life becomes
everything
where
the children play
 ",1
45,"Can I be elsewhere?
A place that can speak to me.
Here, it is silent.

    ",1
46,waterfall of gold lights spill over city building ,1
47,"This distorted reality
False sense of security
We think we are free
 ",1
48,"By the chotki,/ the icons,/the candles/on the mantel:/I offer this shattered prayer.  ",1
49,"Note the mystery 
Lying within
The story 
Being told
Truth
Is not mystery
Nor drama
Just simply 
What it is
Truth

    ",1
50,Hold on ~ see you ~ walking in ~ with sunshine ~ in your palms   ,1
51,long evening ~ climbing to the top of the house ~ and whispering sweet nothings ... ,1
52,"crimson
lips
flaming yesterdays
are here 
if Ur memories
have learned to live
then you are younger 
than you're older
",1
53,The next  is titled Baby Yaga! ,1
54,"Dusk hangs over all
Cobwebby light like a pall
Time slows its tick and tock
Sadness hates four o’clock

  ",1
55,A little sweet- it's fragrance- it's flames - my burning heart ,1
