,index,text,istwitterpoem
0,0,"House clean, tidy · gifts wrapped, ribboned, tagged · shelves laden · 

I'm waiting for something · and it isn't you

",1
1,1,"Orpheus, and the loss of principle survives,
As the mud-turtle e'en ",1
2,2,"There are unspoken truths that fill these rooms
They knew my sadness
But never knew what to do.

",1
3,3,"Lace and terror.
Her bridal-gown
A sluggish
Alien tide.
Tugging otherwhere
Outside.

",1
4,4,"-
I’m not complaining
but kvetch can’t have both (the) one
syllable and two!
-
 (kvetch)
  ",1
5,5,"risk what you've got
play that hand
but darkness has no light
and this 
ain't your promised land
but things fall into place
",1
6,6,"Lockdown may end or may not end by may end as it may end

But, may will end my may end asit may not wait for the lockdown to end !!!
.
        கோடி_மோடிவீடு    ",1
7,7,"I’m urban
as can be
urbane
with a dropped
e

   ",1
8,8,"arctic dark...
horizon
cool cup of 
water—
warm bowl of winter

  
",1
9,9,"very hard to hide 
what our hearts comprehend 
the eyes will declare 
   (hide) ",1
10,10,"Night's surface fading -
dreams dive downwards for the last
dark indulgences.

  ",1
11,11,"Too numerous are the ways that
You send luminous rays.
Radiating the hope of brighter days
Bringing color to the grey.
",1
12,12,"""Know""
To know yourself you must know what you are not
Whatever I can observe I cannot be that
 ",1
13,13,Bicycle reveries: Me / racing / a pollen-drunk bumblebee / and winning ,1
14,14,"The past teaches us/
about our mistakes/
so we don't stop learning.
  ",1
15,15,"I credit you will recover 
 When your loss takes its price
All the greenbacks you made
Will never acquire   your true allies   
 .",1
16,16,"Why do you have to give me the feeling
I can't do anything right
Its like
You stopped trying
Or did you even try
At all?
(I know it's hard to love me)
Gravity is the only reason why
Our lips touch 

 ",1
17,17,"over a little village  
called ""Sunflower""  
a sky full of stars  
seeds sunsets 
with  meteor showers

  ",1
18,18,".
Hold your hand
to your chest
with the wasp
under it

in case your heart
should stop
&amp; the need arise.

",1
19,19,"Attached, detached, attack, interact, react, dead fish, blue wish, nothing to hit. can't miss, missed, once again. Death is no friend. ",1
20,20,and her eyes cried ~ and her mouth opened without sound ~ and my dreams will always be ~ Mongolia my love  ,1
21,21,".
Your wet hair
under my fingers

sweet as the smell
of autumn leaves.

",1
22,22,"Flow...

She goes gently floating...
Unknown shores &amp; new destinations. It's a slow &amp; enchanting dance ~JS 


",1
23,23,"As We Walk
Through A Rose Garden
We Talk
Conversations Scented
By Falling Petals
Nature Acquiesces
2 One
A Word That's Blessed

",1
24,24,"

among us
he was the most
aesthete
caring not just for the art
but the dreams
that inspired it

count 94

 


",1
25,25,"the cold 
pen
pierced her heart
where the cracks were
his words stole in
 ",1
26,26,"If u ever read my story,
I feel understand how heartbroken I am!                   ",1
27,27,An avocado isn't a pear; a koala isn't a bear. ,1
28,28,"All these millennia
Have we longed to hear the words
Join the conversation?
",1
29,29,"

it was men
who had the head start
but over time
it would be women
who not only showed them
how it was done
but smiled
as they were doing it

count 140

 
",1
30,30,"BobzGone 87 German soldiers cap- / tured unit during / Battle of the Bulge
2 act like / a dip- / lomat   ",1
31,31,"We've just launched www.quilliant.com, new community site for writers. Desperately seeking testers! Please take a look  ",1
32,32, the sky is bleeding/God begins to cry/He realizes that humans will never understand/the difference between forgiveness and sin.,1
33,33,"Watching in horror
Scenes at the Kabul airport
My heart breaks open

    ",1
34,34,unclothed ignorance / camellia sasanqua / grown plentiful    (plentiful)  ,1
35,35,Something starts from NOW.   ,1
36,36,"Prairie girl smiling
deep red lips of cherry youth
basket full of dreams

(Oklahoma rose)   ",1
37,37,"  

Dig down deep
Dig into your soul
Find out what's within
And you'll reach your every goal :-)

 ",1
38,38,"With you,
A little bit 
Of dangerous 
Is always fun 
&amp; adventurous ~

",1
39,39,"cherish those tears
no man has known
i worship here
and you have
that simple smile
no woman 
has ever shown...

 
 ",1
40,40,"G&amp; in the streets
and the stars will not be better.
 I am a stranger in the borders of the trumpet of the world.
I want to be a big thing I started to be a little thing that was a stranger when I was a friend of a bullet in the street

  ",1
41,41,"clarinet --
travels down
the path and up
to the moon

",1
42,42,"she tortures my
thoughts
her scent
runs my mind
the lace and her face
silk and her smile
 ",1
43,43,"She broke his heart but
It seemed churlish to complain
Since before she came
He hadn't been using it anyway

  ",1
44,44,"the moon and stars set 
each already sick and pale with grief
envious of your light

  ",1
45,45,"   

Don't be fooled into sarcasm.
Dark as the night.
Wake up and see light.",1
46,46,"FB haiku, pieced together from the statuses of friends.

last minutes princess
a professional mermaid
push the envelope

 ",1
47,47,"Here, lay beside me
Let's count the stars, watch them play
Until forever

 ",1
48,48,There will be no guilt ~ no recriminations ~ with my conscience ~ you ~ are the path ~ I’ve chosen     ,1
49,49,"A crowd of strangers;
I stare 
at a blank phone screen.
   ",1
50,50,"It's nice to not have
Any ideas for now
But simply function
Without much expectation
That anything's accomplished

            ",1
51,51,"the charm of covers
cold biting all reason
stalking

",1
52,52,"every moment
the karma of every day
tragedy
all over this planet
a world of deep sorrows

       ",1
53,53,"Hello
my name is Spyder
I am an incubus

my art is that of
seduction and 
desire

I also really enjoy
manipulating
fire

would anybody out there care to dance with me?

that is
if you think you can take the heat...

 ",1
54,54,Mornings limitless shine mornings risen wonder mornings renewed soul Mornings great heart Mornings touched soul Mornings Risen Change ,1
55,55,"Blind obedience
in the face of reason.
Step by step
we get closer
to the edge of the pit.
     ",1
56,56,"wrapping my mind • 
around cold shoulders • 
thinking spring •   1373",1
57,57,"Here's to another . And it's the beginning of the week, yet, the end of the month.
We'll share your ,  , ,  ,  , anything you want to share! Make sure to  , Follow Back and help others out as well!",1
58,58,"Regrets filled everything,
even the spaces that were left between us.

    ",1
59,59,"i'll be gone before you know it but in the meantime I'll keep writing poetry 

",1
60,60,"The embers of my soul; burn
Bright like snow 
on the bed of your flesh...

     ",1
