token,nonpoem,poem,poem_ratio
poetry,1.0,57.0,57.0
dawn,1.0,45.0,45.0
sky,3.0,119.0,39.666666666666664
birds,1.0,39.0,39.0
wings,1.0,39.0,39.0
haiku,1.0,39.0,39.0
silent,1.0,31.0,31.0
shadows,1.0,31.0,31.0
poems,1.0,30.0,30.0
beneath,1.0,30.0,30.0
darkness,2.0,57.0,28.5
wet,1.0,28.0,28.0
autumn,1.0,28.0,28.0
tongue,1.0,27.0,27.0
filled,1.0,27.0,27.0
skies,1.0,26.0,26.0
path,1.0,26.0,26.0
tears,4.0,101.0,25.25
moonlight,1.0,25.0,25.0
tiny,1.0,25.0,25.0
grass,1.0,25.0,25.0
lights,1.0,25.0,25.0
pain,3.0,72.0,24.0
breathe,1.0,24.0,24.0
upon,2.0,48.0,24.0
dreams,5.0,115.0,23.0
gentle,1.0,23.0,23.0
soul,6.0,135.0,22.5
leaves,3.0,67.0,22.333333333333332
bones,1.0,22.0,22.0
breeze,1.0,22.0,22.0
tear,1.0,21.0,21.0
petals,1.0,21.0,21.0
ears,1.0,21.0,21.0
skin,3.0,58.0,19.333333333333332
stone,1.0,19.0,19.0
count,6.0,109.0,18.166666666666668
deep,4.0,72.0,18.0
poem,3.0,54.0,18.0
humanity,1.0,18.0,18.0
fly,2.0,36.0,18.0
dark,5.0,90.0,18.0
soft,2.0,36.0,18.0
written,3.0,54.0,18.0
smiles,1.0,18.0,18.0
fate,1.0,18.0,18.0
mountain,1.0,18.0,18.0
touch,3.0,53.0,17.666666666666668
sunlight,1.0,17.0,17.0
twisted,1.0,17.0,17.0
glass,2.0,33.0,16.5
words,12.0,193.0,16.083333333333332
freedom,1.0,16.0,16.0
dew,1.0,16.0,16.0
rhyme,1.0,16.0,16.0
sunset,1.0,16.0,16.0
shared,1.0,16.0,16.0
scent,1.0,16.0,16.0
blues,1.0,16.0,16.0
shade,1.0,16.0,16.0
fingers,2.0,31.0,15.5
earth,3.0,45.0,15.0
distant,1.0,15.0,15.0
bloom,1.0,15.0,15.0
shining,1.0,15.0,15.0
hide,2.0,30.0,15.0
shattered,1.0,15.0,15.0
dreaming,1.0,15.0,15.0
trees,3.0,45.0,15.0
sunrise,1.0,15.0,15.0
kiss,3.0,44.0,14.666666666666666
ocean,2.0,29.0,14.5
sea,5.0,72.0,14.4
moon,8.0,115.0,14.375
breath,3.0,43.0,14.333333333333334
horizon,1.0,14.0,14.0
hiding,1.0,14.0,14.0
leaf,1.0,14.0,14.0
grey,2.0,28.0,14.0
sorrow,1.0,14.0,14.0
painful,1.0,14.0,14.0
buried,1.0,14.0,14.0
comfort,1.0,14.0,14.0
shore,1.0,14.0,14.0
