token,nontpoem,tpoem,tpoem_ratio
amp,1.0,297.0,297.0
inside,1.0,65.0,65.0
skin,1.0,54.0,54.0
today,2.0,74.0,37.0
haiku,1.0,34.0,34.0
ur,1.0,32.0,32.0
coffee,1.0,28.0,28.0
mirror,1.0,28.0,28.0
writing,1.0,28.0,28.0
trying,1.0,25.0,25.0
poems,1.0,25.0,25.0
cat,1.0,22.0,22.0
horizon,1.0,22.0,22.0
maybe,1.0,22.0,22.0
finally,1.0,22.0,22.0
poem,3.0,63.0,21.0
step,1.0,21.0,21.0
become,2.0,42.0,21.0
somewhere,1.0,21.0,21.0
isn,1.0,20.0,20.0
control,1.0,20.0,20.0
always,4.0,77.0,19.25
getting,1.0,19.0,19.0
tight,1.0,19.0,19.0
everyone,1.0,19.0,19.0
losing,1.0,19.0,19.0
remain,1.0,19.0,19.0
reality,1.0,19.0,19.0
beginning,1.0,19.0,19.0
fragile,1.0,18.0,18.0
really,2.0,36.0,18.0
colors,1.0,17.0,17.0
inner,1.0,17.0,17.0
poetry,4.0,68.0,17.0
bit,1.0,17.0,17.0
mornings,1.0,17.0,17.0
everything,3.0,50.0,16.666666666666668
want,7.0,113.0,16.142857142857142
moments,2.0,32.0,16.0
stuck,1.0,16.0,16.0
yours,1.0,16.0,16.0
room,2.0,32.0,16.0
smell,1.0,16.0,16.0
don,10.0,157.0,15.7
desires,1.0,15.0,15.0
darkest,1.0,15.0,15.0
gt,1.0,15.0,15.0
glass,2.0,30.0,15.0
shit,1.0,15.0,15.0
beach,1.0,15.0,15.0
birds,3.0,44.0,14.666666666666666
outside,2.0,29.0,14.5
rain,9.0,130.0,14.444444444444445
keeping,1.0,14.0,14.0
giving,1.0,14.0,14.0
wanting,1.0,14.0,14.0
edge,1.0,14.0,14.0
fit,1.0,14.0,14.0
fuck,1.0,14.0,14.0
yr,1.0,14.0,14.0
goodnight,1.0,14.0,14.0
mask,1.0,14.0,14.0
essence,1.0,14.0,14.0
dreams,7.0,97.0,13.857142857142858
moment,4.0,55.0,13.75
kisses,2.0,27.0,13.5
tomorrow,2.0,27.0,13.5
memories,3.0,40.0,13.333333333333334
inspiration,1.0,13.0,13.0
ahead,1.0,13.0,13.0
key,1.0,13.0,13.0
almost,2.0,26.0,13.0
sunrise,1.0,13.0,13.0
sugar,1.0,13.0,13.0
phone,1.0,13.0,13.0
crow,1.0,13.0,13.0
emotions,1.0,13.0,13.0
create,1.0,13.0,13.0
burns,1.0,13.0,13.0
paper,2.0,26.0,13.0
dont,1.0,13.0,13.0
tonight,1.0,13.0,13.0
need,7.0,89.0,12.714285714285714
just,17.0,215.0,12.647058823529411
heat,2.0,25.0,12.5
walking,2.0,25.0,12.5
hidden,2.0,25.0,12.5
count,7.0,87.0,12.428571428571429
thoughts,6.0,73.0,12.166666666666666
anyone,1.0,12.0,12.0
touched,1.0,12.0,12.0
hoping,1.0,12.0,12.0
sadness,1.0,12.0,12.0
branch,1.0,12.0,12.0
holding,2.0,24.0,12.0
blues,1.0,12.0,12.0
butterflies,1.0,12.0,12.0
missing,1.0,12.0,12.0
okay,1.0,12.0,12.0
someone,3.0,36.0,12.0
sitting,1.0,12.0,12.0
keeps,1.0,12.0,12.0
clock,1.0,12.0,12.0
escape,1.0,12.0,12.0
clean,1.0,12.0,12.0
