token,tweet,poem,poem_ratio
thou,1.0,98.0,98.0
thee,1.0,66.0,66.0
er,1.0,58.0,58.0
thus,1.0,41.0,41.0
thy,4.0,110.0,27.5
shall,3.0,76.0,25.333333333333332
whom,1.0,24.0,24.0
forth,1.0,23.0,23.0
ere,1.0,23.0,23.0
upon,2.0,46.0,23.0
vain,1.0,19.0,19.0
beneath,1.0,18.0,18.0
ye,2.0,36.0,18.0
unto,1.0,18.0,18.0
youth,1.0,17.0,17.0
hath,1.0,17.0,17.0
fate,1.0,17.0,17.0
shore,1.0,16.0,16.0
doth,1.0,15.0,15.0
thine,1.0,14.0,14.0
flame,1.0,14.0,14.0
skies,1.0,14.0,14.0
sword,1.0,14.0,14.0
wings,1.0,14.0,14.0
oft,1.0,13.0,13.0
tis,1.0,13.0,13.0
among,1.0,13.0,13.0
lay,2.0,25.0,12.5
sons,1.0,12.0,12.0
fame,1.0,12.0,12.0
crown,1.0,12.0,12.0
pure,1.0,12.0,12.0
earth,3.0,34.0,11.333333333333334
mountain,1.0,11.0,11.0
lest,1.0,11.0,11.0
dost,1.0,11.0,11.0
spake,1.0,11.0,11.0
honour,1.0,11.0,11.0
morn,1.0,10.0,10.0
sight,2.0,20.0,10.0
beside,1.0,10.0,10.0
mighty,2.0,20.0,10.0
path,1.0,10.0,10.0
tongue,1.0,10.0,10.0
es,1.0,10.0,10.0
ry,1.0,10.0,10.0
weeping,1.0,10.0,10.0
mortal,1.0,10.0,10.0
sorrow,1.0,10.0,10.0
pleasure,1.0,10.0,10.0
strife,1.0,10.0,10.0
shadows,1.0,10.0,10.0
nor,6.0,57.0,9.5
brave,2.0,19.0,9.5
ancient,1.0,9.0,9.0
stood,2.0,18.0,9.0
nigh,1.0,9.0,9.0
breathe,1.0,9.0,9.0
dawn,1.0,9.0,9.0
swift,1.0,9.0,9.0
bliss,1.0,9.0,9.0
scarce,1.0,9.0,9.0
glorious,1.0,9.0,9.0
breeze,1.0,9.0,9.0
wood,1.0,9.0,9.0
hast,1.0,9.0,9.0
stands,1.0,9.0,9.0
flower,1.0,9.0,9.0
strength,1.0,9.0,9.0
yonder,1.0,9.0,9.0
born,2.0,17.0,8.5
rose,2.0,17.0,8.5
generous,1.0,8.0,8.0
stone,1.0,8.0,8.0
gentle,1.0,8.0,8.0
bore,1.0,8.0,8.0
charms,1.0,8.0,8.0
weary,1.0,8.0,8.0
beheld,1.0,8.0,8.0
woe,1.0,8.0,8.0
flows,1.0,8.0,8.0
deed,1.0,8.0,8.0
shalt,1.0,8.0,8.0
himself,2.0,16.0,8.0
leaf,1.0,8.0,8.0
seas,1.0,8.0,8.0
eternal,1.0,8.0,8.0
throne,1.0,8.0,8.0
tale,1.0,8.0,8.0
grass,1.0,8.0,8.0
limbs,1.0,8.0,8.0
dread,1.0,8.0,8.0
flowing,1.0,8.0,8.0
sway,1.0,8.0,8.0
grave,2.0,15.0,7.5
bright,3.0,22.0,7.333333333333333
pity,1.0,7.0,7.0
filled,1.0,7.0,7.0
crowd,1.0,7.0,7.0
burst,1.0,7.0,7.0
foe,1.0,7.0,7.0
thro,1.0,7.0,7.0
drawn,1.0,7.0,7.0
yon,1.0,7.0,7.0
shade,1.0,7.0,7.0
idle,1.0,7.0,7.0
marble,1.0,7.0,7.0
cries,1.0,7.0,7.0
bow,2.0,14.0,7.0
cried,2.0,14.0,7.0
halls,1.0,7.0,7.0
bent,1.0,7.0,7.0
fields,1.0,7.0,7.0
monarch,1.0,7.0,7.0
nought,1.0,7.0,7.0
bears,1.0,7.0,7.0
fires,1.0,7.0,7.0
fortune,1.0,7.0,7.0
glow,1.0,7.0,7.0
bade,1.0,7.0,7.0
fled,1.0,7.0,7.0
gleam,1.0,7.0,7.0
wandering,1.0,7.0,7.0
land,4.0,28.0,7.0
brow,1.0,7.0,7.0
answered,1.0,7.0,7.0
death,5.0,35.0,7.0
command,1.0,7.0,7.0
bud,1.0,7.0,7.0
bier,1.0,7.0,7.0
gloom,1.0,7.0,7.0
length,1.0,7.0,7.0
fairest,1.0,7.0,7.0
sacred,1.0,7.0,7.0
faithful,1.0,7.0,7.0
waters,1.0,7.0,7.0
sea,5.0,33.0,6.6
waves,2.0,13.0,6.5
nature,3.0,19.0,6.333333333333333
fair,6.0,38.0,6.333333333333333
lack,1.0,6.0,6.0
venus,1.0,6.0,6.0
greatest,1.0,6.0,6.0
led,2.0,12.0,6.0
foam,1.0,6.0,6.0
dim,2.0,12.0,6.0
gates,1.0,6.0,6.0
narrow,1.0,6.0,6.0
hir,1.0,6.0,6.0
gather,1.0,6.0,6.0
pale,2.0,12.0,6.0
northern,1.0,6.0,6.0
throng,1.0,6.0,6.0
strange,2.0,12.0,6.0
solemn,1.0,6.0,6.0
hector,1.0,6.0,6.0
beloved,1.0,6.0,6.0
pine,1.0,6.0,6.0
broad,2.0,12.0,6.0
heed,1.0,6.0,6.0
strict,1.0,6.0,6.0
dear,4.0,24.0,6.0
fury,1.0,6.0,6.0
leaps,1.0,6.0,6.0
sky,3.0,18.0,6.0
fierce,1.0,6.0,6.0
wet,1.0,6.0,6.0
fiery,1.0,6.0,6.0
trumpet,1.0,6.0,6.0
grain,1.0,6.0,6.0
hundred,1.0,6.0,6.0
wherefore,1.0,6.0,6.0
bosom,1.0,6.0,6.0
utmost,1.0,6.0,6.0
lone,1.0,6.0,6.0
whence,1.0,6.0,6.0
haste,1.0,6.0,6.0
abide,1.0,6.0,6.0
sphere,1.0,6.0,6.0
birth,1.0,6.0,6.0
glare,1.0,6.0,6.0
priest,1.0,6.0,6.0
wilt,1.0,6.0,6.0
scorn,1.0,6.0,6.0
cease,1.0,6.0,6.0
whose,5.0,29.0,5.8
hide,2.0,11.0,5.5
alas,2.0,11.0,5.5
